,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
358,port alfred,-33.59,26.89,69.57,52,95,10.16,ZA,1599946594
359,sovetskiy,61.36,63.58,44.55,93,49,6.51,RU,1599946967
360,opuwo,-18.06,13.84,60.3,40,0,5.46,NA,1599946967
361,chuy,-33.7,-53.46,49.55,79,54,6.26,UY,1599946644
362,waddan,29.16,16.14,86.04,23,2,16.28,LY,1599946967
363,robertsport,6.75,-11.37,77.31,89,100,11.61,LR,1599946968
364,kushmurun,52.45,64.63,62.24,53,98,8.21,KZ,1599946968
365,potiskum,11.71,11.07,75.79,78,96,14.65,NG,1599946969
366,saint-philippe,-21.36,55.77,66.2,68,35,5.82,RE,1599946606
367,cape town,-33.93,18.42,62.01,87,75,11.41,ZA,1599946373
368,souillac,-20.52,57.52,69.8,88,20,4.7,MU,1599946617
369,meybod,32.25,54.02,75.2,24,0,9.17,IR,1599946969
370,hobyo,5.35,48.53,78.03,81,96,26.78,SO,1599946970
371,sarh,9.14,18.39,75.2,94,96,4.7,TD,1599946970
372,ambilobe,-13.2,49.05,71.33,74,21,4.81,MG,1599946913
373,guanica,17.97,-66.91,82.0,77,10,6.85,PR,1599946541
374,mar del plata,-38.0,-57.56,61.0,41,0,14.99,AR,1599946572
375,arraial do cabo,-22.97,-42.03,78.8,65,0,17.22,BR,1599946648
376,georgetown,5.41,100.34,77.0,88,40,1.12,MY,1599946878
377,mweka,-4.85,21.57,73.29,70,37,2.59,CD,1599946971
378,mar del plata,-38.0,-57.56,61.0,41,0,14.99,AR,1599946572
379,goderich,43.75,-81.72,77.0,78,75,9.84,CA,1599946950
